"name","rank","state_name","state_code","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","type","degree_length","in_state_total","out_of_state_total"
"Regis University",8,"Colorado","CO",55500,94800,58,13,"Private","4 Year",48370,48370
"Rensselaer Polytechnic Institute",6,"New-York","NY",71300,134100,49,78,"Private","4 Year",69140,69140
"Rhode Island College",9,"Rhode-Island","RI",47200,83500,52,5,"Public","4 Year",20758,33521
"Rhode Island School of Design",4,"Rhode-Island","RI",55500,100600,39,0,"Private","4 Year",64360,64360
"Rhodes College",2,"Tennessee","TN",51900,97800,46,25,"Private","4 Year",59293,59293
"Rice University",1,"Texas","TX",71000,129500,50,45,"Private","4 Year",61350,61350
"Rider University",8,"New-Jersey","NJ",51600,99000,47,5,"Private","4 Year",56010,56010
"Ripon College",10,"Wisconsin","WI",46300,89600,60,26,"Private","4 Year",52208,52208
"Rivier University",8,"New-Hampshire","NH",49500,85100,58,41,"Private","4 Year",44316,44316
"Roanoke College",20,"Virginia","VA",48500,85100,53,18,"Private","4 Year",57720,57720
"Rockhurst University",7,"Missouri","MO",54000,92500,59,11,"Private","4 Year",47790,47790
"Rocky Mountain College",5,"Montana","MT",46000,82900,59,12,"Private","4 Year",36842,36842
"Roger Williams University",8,"Rhode-Island","RI",52900,92700,48,12,"Private","4 Year",50412,50412
"Rogers State University",22,"Oklahoma","OK",41400,73800,48,11,"Public","4 Year",15486,23826
"Rollins College",18,"Florida","FL",49000,87000,53,7,"Private","4 Year",64495,64495
"Rose-Hulman Institute of Technology",1,"Indiana","IN",75000,135800,51,96,"Private","4 Year",64637,64637
"Rowan University",20,"New-Jersey","NJ",51100,91200,43,21,"Public","4 Year",26249,34891
"Rush University",5,"Illinois","IL",63500,107600,88,6,"Private","4 Year",24900,24900
"Rust College",13,"Mississippi","MS",34800,62400,76,32,"Private","4 Year",14200,14200
"Sacred Heart University",9,"Connecticut","CT",55000,100500,46,15,"Private","4 Year",56730,56730
"Saginaw Valley State University",25,"Michigan","MI",46400,82200,54,12,"Public","4 Year",20494,34401
"Saint Anselm College",2,"New-Hampshire","NH",56400,100300,59,11,"Private","4 Year",55700,55700
"Saint Cloud State University",11,"Minnesota","MN",51600,91600,50,15,"Public","4 Year",17812,26046
"Saint Joseph's College of Maine",7,"Maine","ME",46900,84300,60,2,"Private","4 Year",49330,49330
"Saint Joseph's University",14,"Pennsylvania","PA",57300,105100,41,6,"Private","4 Year",59813,59813
"Saint Louis University",4,"Missouri","MO",54200,95300,56,13,"Private","4 Year",56174,56174
"Saint Martin's University",15,"Washington","WA",53200,91800,60,29,"Private","4 Year",48801,48801
"Saint Mary's College",12,"Indiana","IN",49700,89300,54,15,"Private","4 Year",54800,54800
"Saint Mary's College of California",21,"California","CA",59900,110800,51,5,"Private","4 Year",62650,62650
"Saint Michael's College",4,"Vermont","VT",52900,98500,40,18,"Private","4 Year",57595,57595
"Saint Peter's University",12,"New-Jersey","NJ",52900,95900,35,14,"Private","4 Year",52900,52900
"Saint Xavier University",20,"Illinois","IL",49400,91200,60,10,"Private","4 Year",45220,45220
"Salisbury University",19,"Maryland","MD",50400,89800,51,12,"Public","4 Year",21774,31476
"Salve Regina University",6,"Rhode-Island","RI",53000,93900,50,6,"Private","4 Year",55050,55050
"Samford University",5,"Alabama","AL",48400,90500,52,3,"Private","4 Year",42200,42200
"San Jose State University",17,"California","CA",63000,114700,53,28,"Public","4 Year",24238,33742
"Santa Clara University",6,"California","CA",69900,134700,44,29,"Private","4 Year",66621,66621
"Savannah College of Art and Design",21,"Georgia","GA",46800,80100,34,3,"Private","4 Year",51180,51180
"Seattle Pacific University",6,"Washington","WA",53600,103400,52,9,"Private","4 Year",54735,54735
"Seattle University",1,"Washington","WA",60600,113700,59,12,"Private","4 Year",56898,56898
"Seton Hall University",5,"New-Jersey","NJ",57100,103800,45,8,"Private","4 Year",58270,58270
"Shenandoah University",18,"Virginia","VA",48700,86600,57,7,"Private","4 Year",42900,42900
"Shepherd University",4,"West-Virginia","WV",47100,87100,48,12,"Public","4 Year",18048,28548
"Shorter University",22,"Georgia","GA",45600,79900,55,6,"Private","4 Year",31770,31770
"Sierra Nevada College",1,"Nevada","NV",54000,95500,39,2,"Private","4 Year",47598,47598
"Simpson College",11,"Iowa","IA",49900,88600,47,17,"Private","4 Year",47524,47524
"Smith College",24,"Massachusetts","MA",52700,98200,51,26,"Private","4 Year",69924,69924
